w,vector_semantico
plant,"['constitute', 'plant_life', 'works', 'establish', 'industrial_plant', 'imbed', 'embed', 'found', 'set', 'engraft', 'institute', 'implant', 'plant', 'flora']",How to design your Interlocking Frame
Position,"['put', 'place', 'military_position', 'situation', 'placement', 'positioning', 'status', 'position', 'posture', 'lay', 'stead', 'set', 'post', 'stance', 'perspective', 'billet', 'view', 'office', 'location', 'attitude', 'pose', 'emplacement', 'spot', 'lieu', 'side', 'locating', 'spatial_relation', 'berth']",How to design your Interlocking Frame
checked,"['crack', 'condition', 'ensure', 'curb', 'tick', 'correspond', 'stop', 'see', 'insure', 'chequered', 'watch', 'check_into', 'check_off', 'retard', 'turn_back', 'find_out', 'checkered', 'check_out', 'mark', 'arrest', 'delay', 'chequer', 'see_to_it', 'mark_off', 'fit', 'ascertain', 'tick_off', 'discipline', 'go_over', 'train', 'check_over', 'check', 'assure', 'contain', 'determine', 'break', 'jibe', 'check_up_on', 'moderate', 'checker', 'checked', 'agree', 'match', 'hold_back', 'gibe', 'control', 'hold_in', 'learn', 'chink', 'hold', 'look_into', 'tally', 'suss_out']",How to design your Interlocking Frame
accompanied,"['go_with', 'attach_to', 'play_along', 'companion', 'accompany', 'keep_company', 'attended', 'come_with', 'follow', 'accompanied', 'company']",How to design your Interlocking Frame
within,"['within', 'inside']",How to design your Interlocking Frame
railroader,"['railway_man', 'railroad_man', 'railroader', 'railwayman', 'trainman']",How to design your Interlocking Frame
under,"['under', 'below', 'nether']",How to design your Interlocking Frame
Put,"['put', 'put_option', 'couch', 'lay', 'invest', 'place', 'arrange', 'order', 'commit', 'cast', 'set_up', 'redact', 'set', 'pose', 'frame', 'assign', 'position']",How to design your Interlocking Frame
if,[],How to design your Interlocking Frame
moving,"['moving', 'actuate', 'make_a_motion', 'proceed', 'be_active', 'incite', 'motivate', 'prompt', 'move', 'impress', 'strike', 'locomote', 'displace', 'run', 'propel', 'act', 'go', 'affect', 'travel']",How to design your Interlocking Frame
directly,"['immediately', 'direct', 'directly', 'straightaway', 'like_a_shot', 'straight', 'instantly', 'right_away', 'now', 'at_once', 'flat', 'straight_off', 'forthwith']",How to design your Interlocking Frame
also,"['besides', 'also', 'likewise', 'as_well', 'too']",How to design your Interlocking Frame
worked,"['make', 'bring', 'function', 'solve', 'wreak', 'operate', 'exploit', 'do_work', 'crop', 'exercise', 'work', 'mould', 'knead', 'form', 'process', 'work_out', 'forge', 'play', 'make_for', 'cultivate', 'run', 'act_upon', 'shape', 'act', 'puzzle_out', 'go', 'influence', 'turn', 'figure_out', 'put_to_work', 'lick', 'sour', 'ferment', 'mold', 'work_on']",How to design your Interlocking Frame
screw,"['be_intimate', 'roll_in_the_hay', 'screw_propeller', 'nooky', 'sleep_together', 'bed', 'screw', 'have_it_off', 'do_it', 'gaoler', 'jailor', 'chicane', 'jockey', 'make_love', 'have_sex', 'drive_in', 'make_out', 'jailer', 'fuck', 'shag', 'fucking', 'lie_with', 'bonk', 'piece_of_tail', 'shtup', 'have_it_away', 'screwing', 'cheat', 'hump', 'ass', 'bang', 'know', 'get_it_on', 'shaft', 'nookie', 'get_laid', 'jazz', 'have_a_go_at_it', 'love', 'sleep_with', 'eff', 'piece_of_ass', 'chouse', 'prison_guard', 'turnkey', 'have_intercourse']",How to design your Interlocking Frame
To,[],How to design your Interlocking Frame
chamfer,"['bevel', 'furrow', 'cant', 'chase', 'chamfer']",How to design your Interlocking Frame
listed,"['number', 'heel', 'list', 'name', 'lean', 'listed']",How to design your Interlocking Frame
horizontally,['horizontally'],How to design your Interlocking Frame
Home,"['home_plate', 'place', 'menage', 'rest_home', 'base', 'domicile', 'household', 'home_base', 'dwelling', 'habitation', 'house', 'nursing_home', 'abode', 'internal', 'interior', 'dwelling_house', 'national', 'home', 'plate', 'family']",How to design your Interlocking Frame
Cap,"['crest', 'hood', 'jacket', 'roof', 'detonating_device', 'detonator', 'crownwork', 'pileus', 'crown', 'ceiling', 'capital', 'jacket_crown', 'cap', 'chapiter']",How to design your Interlocking Frame
Cut,"['geld', 'curve', 'cut_back', 'shortened', 'cutting_off', 'switch_off', 'thinned', 'abbreviate', 'edit', 'weakened', 'slashed', 'slash', 'issue', 'track', 'trim', 'trim_down', 'foreshorten', 'shorten', 'slew', 'deletion', 'cutting', 'gash', 'make_out', 'veer', 'hack', 'prune', 'turn_out', 'mown', 'disregard', 'cut', 'excision', 'trim_back', 'sheer', 'cold_shoulder', 'ignore', 'cut_off', 'turn_off', 'write_out', 'cut_down', 'rationalize', 'rationalise', 'emasculated', 'thin_out', 'burn', 'undercut', 'gelded', 'swerve', 'slue', 'skip', 'baseball_swing', 'reduce', 'tailor', 'contract', 'abridge', 'trimmed', 'edit_out', 'cut_of_meat', 'dilute', 'trend', 'slice', 'bring_down', 'stinger', 'thin', 'swing', 'snub']",How to design your Interlocking Frame
notes,"['line', 'notation', 'greenback', 'tone', 'short_letter', 'banknote', 'preeminence', 'government_note', 'notice', 'take_down', ""banker's_bill"", 'distinction', 'mark', 'promissory_note', 'bank_note', 'billet', 'note_of_hand', 'bank_bill', 'bill', 'Federal_Reserve_note', 'mention', 'take_note', 'eminence', 'annotation', 'observe', 'note', 'musical_note', 'remark']",How to design your Interlocking Frame
indicate,"['indicate', 'suggest', 'bespeak', 'signal', 'point', 'designate', 'show', 'argue', 'betoken']",How to design your Interlocking Frame
long,"['long', 'prospicient', 'tenacious', 'farseeing', 'foresighted', 'retentive', 'hanker', 'recollective', 'longsighted', 'yearn', 'foresightful', 'farsighted']",How to design your Interlocking Frame
test,"['test', 'exam', 'tryout', 'run', 'mental_test', 'try', 'prove', 'essay', 'quiz', 'trial', 'examination', 'mental_testing', 'examine', 'screen', 'psychometric_test', 'trial_run', 'try_out']",How to design your Interlocking Frame
we,[],How to design your Interlocking Frame
while,"['patch', 'spell', 'piece', 'while']",How to design your Interlocking Frame
green,"['dark-green', 'common', 'cat_valium', 'viridity', 'light-green', 'jet', 'unripened', 'commons', 'green', 'greens', 'leafy_vegetable', 'Green_River', 'greenness', 'greenish', 'putting_surface', 'unripe', 'gullible', 'K', 'Green', 'park', 'super_C', 'putting_green', 'fleeceable', 'special_K', 'immature', 'super_acid', 'William_Green', 'honey_oil']",How to design your Interlocking Frame
Total,"['number', 'summate', 'add', 'total', 'totality', 'sum_up', 'come', 'sum', 'tot_up', 'tote_up', 'tot', 'add_together', 'full', 'aggregate', 'entire', 'tally', 'amount', 'add_up']",How to design your Interlocking Frame
head,"['drumhead', 'headspring', 'top_dog', 'promontory', 'chief', 'channelise', 'guide', 'psyche', 'fountainhead', 'maneuver', 'school_principal', 'question', 'read/write_head', 'mind', 'head', 'head_word', 'manoeuver', 'heading', 'manoeuvre', 'head_teacher', 'steer', 'direct', 'caput', 'point', 'header', 'head_up', 'oral_sex', 'headland', 'nous', 'pass', 'principal', 'channelize', 'forefront', 'lead', 'headway', 'capitulum', 'foreland', 'straits', 'brain']",How to design your Interlocking Frame
positions,"['put', 'place', 'military_position', 'situation', 'placement', 'positioning', 'status', 'position', 'posture', 'lay', 'stead', 'set', 'post', 'stance', 'perspective', 'billet', 'view', 'office', 'location', 'attitude', 'pose', 'emplacement', 'spot', 'lieu', 'side', 'locating', 'spatial_relation', 'berth']",How to design your Interlocking Frame
without,[],How to design your Interlocking Frame
forces,"['ram', 'military_group', 'force', 'draw', 'coerce', 'violence', 'pressure', 'personnel', 'force_play', 'push', 'military_unit', 'squeeze', 'impel', 'force-out', 'drive', 'strength', 'forcefulness', 'military_force', 'pull', 'force_out', 'hale', 'power', 'wedge', 'storm', 'thrust', 'effect']",How to design your Interlocking Frame
rather,"['rather', 'preferably', 'instead', 'kind_of', 'kinda', 'sort_of', 'quite', 'sooner']",How to design your Interlocking Frame
switch,"['replacement', 'transposition', 'trade', 'flip', 'change_over', 'switch_over', 'switching', 'electrical_switch', 'flip-flop', 'tack', 'interchange', 'swop', 'throw', 'switch', 'exchange', 'electric_switch', 'shift', 'permutation', 'swap', 'change', 'substitution', 'alternate']",How to design your Interlocking Frame
action,"['sue', 'action', 'activity', 'action_at_law', 'process', 'activeness', 'natural_action', 'military_action', 'legal_action', 'litigate', 'carry_through', 'execute', 'action_mechanism', 'accomplish', 'carry_out', 'fulfill', 'natural_process', 'fulfil']",How to design your Interlocking Frame
similar,"['like', 'similar', 'standardized', 'exchangeable', 'standardised', 'alike', 'interchangeable']",How to design your Interlocking Frame
fixed,"['repair', 'make', 'restore', 'deposit', 'rigid', 'fixate', 'unsex', 'situate', 'cook', 'pay_off', 'posit', 'furbish_up', 'desex', 'limit', 'ready', 'set', 'define', 'doctor', 'mend', 'pay_back', 'get', 'sterilize', 'determine', 'touch_on', 'bushel', 'desexualize', 'fix', 'desexualise', 'sterilise', 'frozen', 'fixed', 'set_up', 'prepare', 'fasten', 'specify', 'secure', 'gear_up']",How to design your Interlocking Frame
hole,"['gob', 'pickle', 'yap', 'muddle', 'hole', 'trap', 'golf_hole', 'jam', 'hole_out', 'mess', 'maw', 'hollow', 'cakehole', 'fix', 'kettle_of_fish']",How to design your Interlocking Frame
cleared,"['vindicated', 'brighten', 'light_up', 'sack', 'crystalize', 'make', 'discharge', 'take_in', 'elucidate', 'clear', 'realise', 'straighten_out', 'authorize', 'earn', 'shed_light_on', 'absolved', 'clear_up', 'solve', 'crystallise', 'pull_in', 'net', 'sort_out', 'exculpated', 'illuminate', 'exonerate', 'crystallize', 'acquit', 'top', 'pass', 'exonerated', 'enlighten', 'bring_in', 'assoil', 'gain', 'realize', 'cleared', 'crystalise', 'unclutter', 'sack_up', 'authorise', 'exculpate']",How to design your Interlocking Frame
locate,"['place', 'turn_up', 'locate', 'settle', 'situate', 'site']",How to design your Interlocking Frame
method,"['method_acting', 'method']",How to design your Interlocking Frame
first,"['number_one', 'beginning', 'showtime', 'inaugural', 'low', 'maiden', 'first-class_honours_degree', 'for_the_first_time', 'low_gear', 'kickoff', 'first_off', 'first_of_all', 'first_gear', 'initiatory', 'number_1', 'offset', 'get-go', 'initiative', 'world-class', 'outset', 'first_base', 'firstly', 'foremost', 'starting_time', 'start', 'commencement', 'first', '1st']",How to design your Interlocking Frame
Fig.,[],How to design your Interlocking Frame
against,[],How to design your Interlocking Frame
advance,"['cash_advance', 'boost', 'set_ahead', 'get_along', 'throw_out', 'in_advance', 'win', 'make_headway', 'raise', 'come_along', 'encourage', 'pull_ahead', 'gain_ground', 'progression', 'feeler', 'procession', 'betterment', 'shape_up', 'forward_motion', 'advancement', 'kick_upstairs', 'get_on', 'promote', 'approach', 'move_on', 'come_on', 'march_on', 'overture', 'bring_forward', 'rise', 'onward_motion', 'pass_on', 'get_ahead', 'improvement', 'progress', 'gain', 'beforehand', 'upgrade', 'supercharge', 'further', 'advanced', 'elevate', 'go_on', 'advance']",How to design your Interlocking Frame
flush,"['flush', 'flower', 'purge', 'gush', 'kick', 'even', 'loaded', 'bloom', 'blossom', 'prime', 'blush', 'moneyed', 'charge', 'hot_flash', 'level', 'bang', 'thrill', 'rush', 'redden', 'even_out', 'crimson', 'efflorescence', 'outpouring', 'sluice', 'wealthy', 'rosiness', 'heyday', 'peak', 'scour', 'boot', 'affluent']",How to design your Interlocking Frame
yellow,"['sensationalistic', 'yellowness', 'xanthous', 'yellowed', 'scandalmongering', 'icteric', 'yellow', 'jaundiced', 'chickenhearted', 'white-livered', 'yellow-bellied', 'chicken', 'yellowish', 'lily-livered']",How to design your Interlocking Frame
instances,"['illustration', 'case', 'exemplify', 'representative', 'illustrate', 'example', 'instance']",How to design your Interlocking Frame
Fashion,"['mode', 'fashion', 'way', 'style', 'forge', 'manner']",How to design your Interlocking Frame
same,"['Lapplander', 'like', 'Same', 'same', 'Saami', 'Saame', 'Lapp', 'Sami']",How to design your Interlocking Frame
pads,"['aggrandise', 'launch_pad', 'lard', 'stamp_pad', 'inking_pad', 'lodgings', 'bolster', 'fill_out', 'domiciliation', 'pad', 'plod', 'tramp', 'footslog', 'tablet', 'launchpad', 'trudge', 'slog', 'launch_area', 'pad_of_paper', 'embroider', 'dramatise', 'inkpad', 'dramatize', 'launching_pad', 'digs', 'diggings', 'aggrandize', 'embellish', 'blow_up']",How to design your Interlocking Frame
aside,"['aside', 'away', 'apart', 'excursus', 'divagation', 'digression', 'by', 'parenthesis']",How to design your Interlocking Frame
twisted,"['curve', 'wrestle', 'distort', 'misrepresented', 'perverted', 'wriggle', 'flex', 'twist_around', 'twisted', 'rick', 'sprain', 'worm', 'pervert', 'twist', 'sophisticate', 'wind', 'deform', 'squirm', 'twine', 'bend', 'wrench', 'writhe', 'turn', 'convolute', 'distorted', 'wrick']",How to design your Interlocking Frame
have,"['sustain', 'experience', 'give_birth', 'make', 'take_in', 'suffer', 'have_got', 'wealthy_person', 'cause', 'accept', 'own', 'have', 'feature', 'ingest', 'consume', 'get', 'bear', 'throw', 'induce', 'let', 'rich_person', 'stimulate', 'birth', 'possess', 'take', 'deliver', 'give', 'hold', 'receive']",How to design your Interlocking Frame
building,"['construct', 'progress', 'building', 'build', 'make', 'establish', 'edifice', 'work_up', 'construction', 'build_up', 'ramp_up']",How to design your Interlocking Frame
Start,"['starting_signal', 'pop_out', 'come_out', 'beginning', 'showtime', 'get_going', 'set_about', 'take_up', 'originate', 'kickoff', 'start_out', 'jump', 'set_off', 'scratch', 'get_down', 'head_start', 'startle', 'initiate', 'pop', 'get', 'set_out', 'commence', 'offset', 'depart', 'embark_on', 'bulge', 'bulge_out', 'get-go', 'begin', 'outset', 'starting', 'scratch_line', 'start_up', 'take_off', 'set_forth', 'part', 'starting_line', 'go', 'bug_out', 'protrude', 'starting_time', 'lead_off', 'start', 'commencement', 'first']",How to design your Interlocking Frame
replaced,"['interchange', 'exchange', 'supercede', 'supersede', 'put_back', 'replace', 'substitute', 'supplant', 'supervene_upon']",How to design your Interlocking Frame
contact,"['get_hold_of', 'physical_contact', 'impinging', 'middleman', 'contact_lens', 'contact', 'adjoin', 'striking', 'link', 'touch', 'meet', 'liaison', 'tangency', 'get_through', 'reach', 'inter-group_communication']",How to design your Interlocking Frame
little,"['slight', 'lilliputian', 'petty', 'footling', 'niggling', 'little', 'trivial', 'short', 'minuscule', 'picayune', 'small', 'piffling', 'fiddling', 'piddling']",How to design your Interlocking Frame
get,"['generate', 'sustain', 'experience', 'father', 'bugger_off', 'make', 'bring', 'draw', 'set_about', 'dumbfound', 'suffer', 'aim', 'cause', 'nonplus', 'stupefy', 'vex', 'grow', 'mother', 'pay_off', 'fuck_off', 'stick', 'have', 'start_out', 'engender', 'acquire', 'catch', 'find', 'get_down', 'incur', 'pay_back', 'arrest', 'scram', 'develop', 'get', 'buzz_off', 'set_out', 'commence', 'baffle', 'beget', 'gravel', 'convey', 'begin', 'drive', 'induce', 'amaze', 'obtain', 'mystify', 'become', 'let', 'capture', 'pose', 'arrive', 'fix', 'stimulate', 'puzzle', 'take', 'beat', 'produce', 'flummox', 'perplex', 'contract', 'come', 'go', 'fetch', ""get_under_one's_skin"", 'bring_forth', 'start', 'receive', 'sire', 'bewilder']",How to design your Interlocking Frame
cut,"['geld', 'curve', 'cut_back', 'shortened', 'cutting_off', 'switch_off', 'thinned', 'abbreviate', 'edit', 'weakened', 'slashed', 'slash', 'issue', 'track', 'trim', 'trim_down', 'foreshorten', 'shorten', 'slew', 'deletion', 'cutting', 'gash', 'make_out', 'veer', 'hack', 'prune', 'turn_out', 'mown', 'disregard', 'cut', 'excision', 'trim_back', 'sheer', 'cold_shoulder', 'ignore', 'cut_off', 'turn_off', 'write_out', 'cut_down', 'rationalize', 'rationalise', 'emasculated', 'thin_out', 'burn', 'undercut', 'gelded', 'swerve', 'slue', 'skip', 'baseball_swing', 'reduce', 'tailor', 'contract', 'abridge', 'trimmed', 'edit_out', 'cut_of_meat', 'dilute', 'trend', 'slice', 'bring_down', 'stinger', 'thin', 'swing', 'snub']",How to design your Interlocking Frame
ends,"['cease', 'closing', 'conclusion', 'remnant', 'remainder', 'finish', 'goal', 'close', 'terminal', 'stop', 'terminate', 'destruction', 'oddment', 'end', 'final_stage', 'last', 'death', 'ending']",How to design your Interlocking Frame
undersize,"['undersize', 'undersized']",How to design your Interlocking Frame
degrees,"['point', 'level', 'arcdegree', 'stage', 'degree', 'academic_degree', 'grade']",How to design your Interlocking Frame
since,[],How to design your Interlocking Frame
sq.,[],How to design your Interlocking Frame
drill,"['practice', 'practise', 'Mandrillus_leucophaeus', 'drill', 'bore', 'recitation', 'practice_session', 'exercise']",How to design your Interlocking Frame
The,[],How to design your Interlocking Frame
show,"['render', 'shew', 'show_up', 'evidence', 'register', 'usher', 'evince', 'testify', 'indicate', 'demo', 'bear_witness', 'express', 'record', 'prove', 'point', 'appearance', 'depict', 'designate', 'display', 'demonstrate', 'show', 'picture', 'exhibit', 'read', 'establish', 'present']",How to design your Interlocking Frame
you,[],How to design your Interlocking Frame
dia.,[],How to design your Interlocking Frame
basic,"['introductory', 'BASIC', 'staple', 'canonic', 'canonical', 'basic']",How to design your Interlocking Frame
here,"['here', 'Hera', 'hither', 'Here']",How to design your Interlocking Frame
are,"['constitute', 'equal', 'are', 'embody', 'cost', 'comprise', 'represent', 'make_up', 'live', 'be', 'personify', 'exist', 'follow', 'ar']",How to design your Interlocking Frame
serve,"['serve', 'dish', 'attend_to', 'process', 'swear_out', 'suffice', 'dish_out', 'attend', 'service', 'wait_on', 'serve_well', 'do', 'dish_up', 'answer', 'help', 'assist', 'function', 'serve_up']",How to design your Interlocking Frame
this,[],How to design your Interlocking Frame
part,"['break_up', 'contribution', 'portion', 'partly', 'character', 'persona', 'percentage', 'disunite', 'partially', 'piece', 'function', 'section', 'start_out', 'component', 'set_off', 'component_part', 'constituent', 'theatrical_role', 'split', 'depart', 'set_out', 'role', 'break', 'office', 'take_off', 'separate', 'set_forth', 'split_up', 'voice', 'region', 'parting', 'part', 'divide', 'start', 'share', 'division']",How to design your Interlocking Frame
connected,"['get_in_touch', 'associate', 'plug_into', 'attached', 'machine-accessible', 'colligate', 'connected', 'connect', 'touch_base', 'link', 'link_up', 'relate', 'plug_in', 'affiliated', 'tie_in', 'tie', 'unite', 'join']",How to design your Interlocking Frame
extend,"['draw_out', 'stretch_forth', 'gallop', 'reach_out', 'protract', 'broaden', 'stretch', 'hold_out', 'put_out', 'poke_out', 'stretch_out', 'offer', 'cover', 'carry', 'prolong', 'pass', 'strain', 'run', 'widen', 'lead', 'continue', 'unfold', 'go', 'exsert', 'extend', 'expand']",How to design your Interlocking Frame
blade,"['steel', 'vane', 'brand', 'leaf_blade', 'blade', 'sword']",How to design your Interlocking Frame
secure,"['unattackable', 'guarantee', 'ensure', 'plug', 'insure', 'good', 'impregnable', 'unassailable', 'safe', 'untroubled', 'inviolable', 'batten', 'batten_down', 'assure', 'stop_up', 'unafraid', 'fix', 'dependable', 'procure', 'fasten', 'secure', 'strong']",How to design your Interlocking Frame
12,"['12', 'xii', 'twelve', 'dozen', 'XII']",How to design your Interlocking Frame
pertinent,"['apposite', 'pertinent', 'apt']",How to design your Interlocking Frame
critical,"['decisive', 'vital', 'critical']",How to design your Interlocking Frame
holes,"['gob', 'pickle', 'yap', 'muddle', 'hole', 'trap', 'golf_hole', 'jam', 'hole_out', 'mess', 'maw', 'hollow', 'cakehole', 'fix', 'kettle_of_fish']",How to design your Interlocking Frame
1-6,[],How to design your Interlocking Frame
By,"['away', 'by', 'aside', 'past']",How to design your Interlocking Frame
mandrel,"['mandril', 'spindle', 'arbor', 'mandrel']",How to design your Interlocking Frame
built,"['construct', 'progress', 'make', 'build', 'establish', 'work_up', 'build_up', 'reinforced', 'built', 'ramp_up']",How to design your Interlocking Frame
letters,"['alphabetic_character', 'letter', 'missive', 'varsity_letter', 'letters', 'letter_of_the_alphabet']",How to design your Interlocking Frame
frequently,"['ofttimes', 'oft', 'oftentimes', 'often', 'frequently']",How to design your Interlocking Frame
tight,"['miserly', 'plastered', 'pixilated', 'cockeyed', 'sloshed', 'loaded', 'taut', 'rigorous', 'stringent', 'besotted', 'fuddled', 'tight', 'smashed', 'blotto', 'slopped', 'mingy', 'soused', 'closely', 'compressed', 'pie-eyed', 'mean', 'pissed', 'fast', 'blind_drunk', 'close', 'nasty', 'stiff', 'sozzled', 'wet', 'crocked', 'soaked', 'squiffy']",How to design your Interlocking Frame
position,"['put', 'place', 'military_position', 'situation', 'placement', 'positioning', 'status', 'position', 'posture', 'lay', 'stead', 'set', 'post', 'stance', 'perspective', 'billet', 'view', 'office', 'location', 'attitude', 'pose', 'emplacement', 'spot', 'lieu', 'side', 'locating', 'spatial_relation', 'berth']",How to design your Interlocking Frame
wheel,"['roll', 'wheel_around', 'roulette_wheel', 'pedal', 'steering_wheel', 'rack', 'bicycle', 'bike', 'cycle', 'wheel']",How to design your Interlocking Frame
soldering,"['solder', 'bonding', 'soldering']",How to design your Interlocking Frame
its,"['IT', 'information_technology']",How to design your Interlocking Frame
off,"['forth', 'turned', 'slay', 'bump_off', 'off', 'dispatch', 'remove', 'cancelled', 'away', 'murder', 'hit', 'polish_off', 'sour']",How to design your Interlocking Frame
brass,"['cheek', 'governing_body', 'brass', 'boldness', 'organisation', 'brass_section', 'memorial_tablet', 'face', 'plaque', 'governance', 'organization', 'nerve', 'establishment', 'administration', 'brass_instrument']",How to design your Interlocking Frame
assume,"['put_on', 'feign', 'seize', 'accept', 'take_up', 'sham', 'assume', 'wear', 'acquire', 'take_for_granted', 'take_over', 'presume', 'bear', 'simulate', 'take_on', 'don', 'strike', 'usurp', 'take', 'adopt', 'get_into', 'arrogate']",How to design your Interlocking Frame
proper,"['right', 'proper']",How to design your Interlocking Frame
adjoining,"['edge', 'butt', 'border', 'abut', 'butt_on', 'adjoin', 'contact', 'march', 'butt_against', 'meet', 'touch']",How to design your Interlocking Frame
plane,"['planing_machine', 'planer', 'aeroplane', 'airplane', 'plane', ""carpenter's_plane"", 'shave', 'sheet', 'level', 'flat', 'skim', 'woodworking_plane']",How to design your Interlocking Frame
situations,"['post', 'place', 'billet', 'situation', 'spot', 'state_of_affairs', 'office', 'berth', 'position', 'site']",How to design your Interlocking Frame
short,"['unretentive', 'unawares', 'short-circuit', 'brusk', 'dead', 'curt', 'short_circuit', 'short-change', 'short', 'poor', 'little', 'shortstop', 'brusque', 'light', 'scant', 'forgetful', 'inadequate', 'myopic', 'shortly', 'unforesightful', 'abruptly', 'curtly', 'shortsighted', 'suddenly']",How to design your Interlocking Frame
over,"['all_over', 'terminated', ""o'er"", 'over', 'concluded', 'complete', 'ended']",How to design your Interlocking Frame
hack,"['nag', 'hack_on', 'plug', 'taxicab', 'political_hack', 'cab', 'whoop', 'cut_up', 'machine_politician', 'hack', 'taxi', 'hack_writer', 'literary_hack', 'cut', 'hacker', 'chop', 'ward-heeler', 'jade', 'drudge']",How to design your Interlocking Frame
angle,"['slant', 'weight', 'tip', 'lean', 'fish', 'Angle', 'angle', 'tilt']",How to design your Interlocking Frame
work,"['piece_of_work', 'employment', 'make', 'bring', 'function', 'solve', 'wreak', 'oeuvre', 'operate', 'exploit', 'do_work', 'crop', 'exercise', 'work', 'mould', 'knead', 'form', 'workplace', 'process', 'body_of_work', 'work_out', 'forge', 'play', 'make_for', 'cultivate', 'run', 'study', 'act_upon', 'act', 'shape', 'puzzle_out', 'go', 'influence', 'turn', 'figure_out', 'put_to_work', 'lick', 'sour', 'ferment', 'mold', 'work_on']",How to design your Interlocking Frame
allow,"['provide', 'grant', 'countenance', 'tolerate', 'set_aside', 'take_into_account', 'earmark', 'permit', 'appropriate', 'admit', 'give_up', 'allow_for', 'let', 'reserve', 'allow', 'leave']",How to design your Interlocking Frame
gives,"['generate', 'return', 'render', 'make', 'consecrate', 'cave_in', 'have', 'fall_in', 'gift', 'contribute', 'collapse', 'ease_up', 'impart', 'leave', 'turn_over', 'move_over', 'feed', 'throw', 'commit', 'springiness', 'chip_in', 'break', 'pay', 'founder', 'pass', 'dedicate', 'reach', 'kick_in', 'pass_on', 'spring', 'yield', 'grant', 'hand', 'devote', 'afford', 'establish', 'open', 'give', 'present', 'hold', 'apply', 'give_way', 'sacrifice']",How to design your Interlocking Frame
fit,"['scene', 'correspond', 'meet', 'outfit', 'primed', 'paroxysm', 'set', 'burst', 'fit_out', 'accommodate', 'equip', 'conniption', 'fit', 'convulsion', 'check', 'jibe', 'conform_to', 'agree', 'suit', 'match', 'tantrum', 'gibe', 'go', 'tally']",How to design your Interlocking Frame
operations,"['surgery', 'functioning', 'mathematical_process', 'cognitive_process', 'process', 'mathematical_operation', 'cognitive_operation', 'surgical_process', 'surgical_operation', 'operations', 'trading_operations', 'procedure', 'operation', 'surgical_procedure', 'performance', 'military_operation', 'mental_process']",How to design your Interlocking Frame
Assemble,"['assemble', 'forgather', 'put_together', 'get_together', 'set_up', 'tack_together', 'meet', 'gather', 'foregather', 'piece', 'tack']",How to design your Interlocking Frame
nearly,"['nigh', 'virtually', 'about', 'closely', 'most', 'nearly', 'well-nigh', 'almost', 'intimately', 'near']",How to design your Interlocking Frame
then,"['then', 'and_so', 'and_then', 'so']",How to design your Interlocking Frame
1-1/4'',[],How to design your Interlocking Frame
lengths,"['distance', 'duration', 'length']",How to design your Interlocking Frame
All,"['entirely', 'all', 'whole', 'completely', 'totally', 'altogether', 'wholly']",How to design your Interlocking Frame
notches,"['notch', 'snick', 'nick', 'pass', 'mountain_pass']",How to design your Interlocking Frame
square,"['hearty', 'substantial', 'squarely', 'straight', 'satisfying', 'square_up', 'square_toes', 'solid', 'foursquare', 'straightforward', 'public_square', 'feather', 'square', 'second_power', 'lame']",How to design your Interlocking Frame
5-3/4'',[],How to design your Interlocking Frame
assembly,"['fabrication', 'assembly', 'forum', 'assemblage', 'meeting_place', 'gathering']",How to design your Interlocking Frame
they,[],How to design your Interlocking Frame
Note,"['line', 'notation', 'greenback', 'tone', 'short_letter', 'banknote', 'preeminence', 'government_note', 'notice', 'take_down', ""banker's_bill"", 'distinction', 'mark', 'promissory_note', 'bank_note', 'billet', 'note_of_hand', 'bank_bill', 'bill', 'Federal_Reserve_note', 'mention', 'take_note', 'eminence', 'annotation', 'observe', 'note', 'musical_note', 'remark']",How to design your Interlocking Frame
anchor,"['backbone', 'lynchpin', 'anchorman', 'anchorperson', 'linchpin', 'ground_tackle', 'mainstay', 'ground', 'drop_anchor', 'keystone', 'cast_anchor', 'anchor']",How to design your Interlocking Frame
run,"['escape', 'range', 'track_down', 'endure', 'discharge', 'draw', 'trial', 'run_for', 'streamlet', 'turn_tail', 'break_away', 'function', 'runnel', 'test', 'fly_the_coop', 'melt_down', 'black_market', 'hightail_it', 'course', 'guide', 'race', 'ravel', 'lam', 'operate', 'persist', 'execute', 'run_away', 'work', 'rill', 'consort', 'melt', 'ply', 'rivulet', 'feed', 'be_given', 'move', 'unravel', 'flow', 'scat', 'carry', 'play', 'foot_race', 'incline', 'footrace', 'pass', 'prevail', 'run', 'running_play', 'tend', 'bleed', 'hunt', 'campaign', 'streak', 'lead', 'hunt_down', 'scarper', 'running_game', 'outpouring', 'take_to_the_woods', 'go', 'ladder', 'political_campaign', 'lean', 'die_hard', 'extend', 'head_for_the_hills', 'bunk', 'tally', 'running']",How to design your Interlocking Frame
must,"['moldiness', 'mustiness', 'must']",How to design your Interlocking Frame
scribing,['scribe'],How to design your Interlocking Frame
applied,"['practice', 'go_for', 'utilise', 'enforce', 'use', 'employ', 'put_on', 'lend_oneself', 'implement', 'give', 'hold', 'applied', 'utilize', 'apply']",How to design your Interlocking Frame
material,"['stuff', 'corporeal', 'substantial', 'material', 'cloth', 'fabric', 'real', 'textile']",How to design your Interlocking Frame
underside,"['undersurface', 'underside', 'bottom']",How to design your Interlocking Frame
on,"['on', 'along']",How to design your Interlocking Frame
