w,vector_semantico
go,"['start', 'give_way', 'ecstasy', 'X', 'lead', 'hug_drug', 'choke', 'pass_away', 'tour', 'decease', 'live', 'belong', 'move', 'expire', 'break', 'blend', ""cash_in_one's_chips"", 'survive', 'go_game', 'drop_dead', 'pass', 'go_bad', 'operate', 'extend', 'run', 'proceed', 'run_low', 'live_on', 'buy_the_farm', 'give_out', 'get', 'pop_off', 'hold_out', 'Adam', 'spell', 'run_short', 'croak', 'work', 'go_away', 'plump', 'conk_out', 'fling', 'kick_the_bucket', 'rifle', 'depart', 'endure', 'fail', 'locomote', 'disco_biscuit', 'turn', 'travel', 'go', 'die', 'exit', 'snuff_it', 'break_down', 'crack', 'last', 'cristal', 'hold_up', 'become', 'XTC', 'whirl', 'function', 'get_going', 'fit', 'blend_in', 'give-up_the_ghost', 'perish', 'conk', 'sound', 'offer']"
countries,"['commonwealth', 'body_politic', 'res_publica', 'country', 'state', 'rural_area', 'area', 'land', 'nation']"
prepare,"['cook', 'ready', 'set', 'make', 'organize', 'get_up', 'groom', 'fix', 'gear_up', 'develop', 'educate', 'train', 'machinate', 'organise', 'devise', 'set_up', 'prepare']"
middle-,[]
whose,[]
When,[]
very,"['real', 'really', 'very', 'rattling', 'selfsame', 'identical']"
governments,"['authorities', 'administration', 'political_science', 'government', 'government_activity', 'regime', 'governance', 'politics', 'governing']"
fields,"['theater_of_operations', 'theatre_of_operations', 'line_of_business', 'subject_field', 'battleground', 'champaign', 'playing_field', 'subject_area', 'subject', 'bailiwick', 'field_of_study', 'field_of_operation', 'flying_field', 'W._C._Fields', 'orbit', 'field_of_honor', 'force_field', 'field_of_battle', 'field', 'Fields', 'sphere', 'discipline', 'field_of_view', 'arena', 'plain', 'airfield', 'study', 'theatre', 'field_of_force', 'area', 'domain', 'theater', 'athletic_field', 'landing_field', 'field_of_operations', 'William_Claude_Dukenfield', 'playing_area', 'battlefield']"
principle,"['rule', 'rationale', 'precept', 'principle']"
powers,"['tycoon', 'force', 'exponent', 'major_power', 'business_leader', 'mightiness', 'office', 'king', 'magnate', 'superpower', 'mogul', 'index', 'baron', 'top_executive', 'great_power', 'might', 'world_power', 'ability', 'power', 'powerfulness', 'big_businessman']"
obligation,"['duty', 'responsibility', 'debt_instrument', 'certificate_of_indebtedness', 'indebtedness', 'obligation']"
If,[]
affect,"['bear_on', 'move', 'bear_upon', 'touch', 'strike', 'touch_on', 'affect', 'involve', 'pretend', 'regard', 'dissemble', 'sham', 'feign', 'impact', 'impress']"
it,"['IT', 'information_technology']"
they,[]
direction,"['counseling', 'focal_point', 'guidance', 'steering', 'way', 'charge', 'counselling', 'focus', 'centering', 'focussing', 'commission', 'management', 'focusing', 'direction', 'instruction', 'counsel']"
basically,"['basically', 'essentially', 'fundamentally']"
trademark,"['trademark', 'stylemark', 'brand', 'earmark', 'hallmark', 'brandmark']"
still,"['silent', 'still', 'placid', 'tranquil', 'shut_up', 'allay', 'tranquilize', 'noneffervescent', 'tranquillise', 'relieve', 'motionless', 'ease', 'inactive', 'stillness', 'nevertheless', 'notwithstanding', 'static', 'however', 'lull', 'silence', 'hush', 'nonetheless', 'calm_down', 'even_so', 'unruffled', 'even', 'yet', 'soundless', 'calm', 'smooth', 'withal', 'stock-still', 'all_the_same', 'tranquillize', 'distillery', 'hush_up', 'quieten', 'quiet']"
is,"['represent', 'make_up', 'cost', 'constitute', 'equal', 'comprise', 'personify', 'follow', 'be', 'embody', 'exist', 'live']"
potentialities,"['capableness', 'potentiality', 'capability', 'potency', 'potential']"
judgments,"['sound_judgement', 'sound_judgment', 'judicial_decision', 'discernment', 'legal_opinion', 'judgement', 'assessment', 'sagaciousness', 'sagacity', 'judging', 'mind', 'perspicacity', 'judgment', 'opinion']"
The,[]
positive,"['positive_degree', 'incontrovertible', 'overconfident', 'positivist', 'cocksure', 'irrefutable', 'confident', 'prescribed', 'positively_charged', 'convinced', 'positive', 'confirming', 'electropositive', 'plus', 'positivistic']"
making,"['have', 'make_believe', 'fashioning', 'realise', 'cause', 'construct', 'making', 'throw', 'produce', 'arrive_at', 'draw', 'relieve_oneself', 'fix', 'devising', 'ca-ca', 'ready', 'establish', 'take_a_leak', 'earn', 'constitute', 'reach', 'pretend', 'form', 'get_to', 'give', 'pass_water', 'get', 'do', 'create', 'attain', 'shit', 'stimulate', 'piddle', 'pee', 'take_a_crap', 'make_water', 'defecate', 'wee-wee', 'hit', 'gain', 'lay_down', 'take', 'progress_to', 'work', 'pull_in', 'seduce', 'urinate', 'puddle', 'micturate', 'piss', 'bring_in', 'hold', 'nominate', 'spend_a_penny', 'build', 'prepare', 'realize', 'name', 'qualification', 'make_up', 'cook', 'make', 'crap', 'wee', 'induce', 'clear', 'score', 'pee-pee', 'take_a_shit', 'take_in', 'stool']"
nationalism,"['nationalism', 'patriotism']"
move,"['motion', 'actuate', 'move', 'incite', 'relocation', 'displace', 'strike', 'run', 'proceed', 'motivate', 'movement', 'motility', 'make_a_motion', 'propel', 'locomote', 'travel', 'go', 'act', 'affect', 'prompt', 'be_active', 'impress']"
programs,"['programme', 'platform', 'computer_program', 'syllabus', 'plan', 'course_of_study', 'political_program', 'curriculum', 'broadcast', 'computer_programme', 'program', 'political_platform']"
their,[]
great,"['corking', 'heavy', 'neat', 'dandy', 'bully', 'great', 'groovy', 'gravid', 'smashing', 'with_child', 'capital', 'majuscule', 'expectant', 'swell', 'not_bad', 'bang-up', 'enceinte', 'outstanding', 'slap-up', 'large', 'cracking', 'keen', 'nifty', 'big', 'peachy']"
destroyed,"['destroy', 'destruct', 'put_down', 'ruin', 'demolish', 'ruined', 'destroyed']"
for,[]
free,"['relinquish', 'free_people', 'costless', 'absolve', 'unloosen', 'justify', 'loose', 'discharge', 'release', 'relieve', 'free', 'liberal', 'unblock', 'detached', 'disengage', 'complimentary', 'exempt', 'rid', 'dislodge', 'destitute', 'give_up', 'gratuitous', 'resign', 'disembarrass', 'gratis', 'unfreeze', 'devoid', 'innocent', 'unloose', 'liberate', 'spare', 'barren']"
discourage,"['deter', 'admonish', 'monish', 'discourage', 'warn']"
people,"['multitude', 'masses', 'the_great_unwashed', 'people', 'hoi_polloi', 'mass', 'citizenry']"
interrelationships,"['interrelatedness', 'interrelationship', 'interrelation']"
economies,"['economy', 'economic_system', 'saving', 'thriftiness']"
long,"['farseeing', 'yearn', 'retentive', 'farsighted', 'foresightful', 'long', 'tenacious', 'prospicient', 'recollective', 'longsighted', 'hanker', 'foresighted']"
reassured,"['reassure', 'reassured', 'assure']"
ambitions,"['ambition', 'aspiration', 'dream', 'ambitiousness']"
face,"['grimace', 'nerve', 'side', 'face_up', 'confront', 'typeface', 'cheek', 'human_face', 'face', 'boldness', 'fount', 'facial_expression', 'brass', 'aspect', 'font', 'look', 'case', 'present', 'front', 'expression']"
tremendous,"['grand', 'wondrous', 'frightful', 'howling', 'rattling', 'wonderful', 'enormous', 'terrific', 'awful', 'fantastic', 'marvellous', 'marvelous', 'terrible', 'tremendous']"
most,"['nearly', 'about', 'almost', 'nigh', 'to_the_highest_degree', 'near', 'virtually', 'well-nigh', 'most']"
financial,"['fiscal', 'financial']"
past,"['past', 'yesteryear', 'past_tense', 'preceding', 'retiring', 'by', 'past_times']"
meaningful,['meaningful']
can,"['rear', 'rear_end', 'backside', 'stern', 'bathroom', 'tail_end', 'crapper', 'tail', 'ass', 'give_the_axe', 'potty', 'hindquarters', 'posterior', 'canful', 'put_up', 'rump', 'fundament', 'fire', 'dismiss', 'john', 'buns', 'displace', 'bottom', 'fanny', 'nates', 'privy', 'bum', 'behind', 'force_out', 'tin', 'toilet', 'terminate', 'buttocks', 'sack', 'give_notice', 'give_the_sack', 'can', 'throne', 'send_away', 'tin_can', 'commode', 'butt', 'tush', 'tooshie', 'can_buoy', 'hind_end', 'derriere', 'arse', 'lavatory', 'keister', 'seat', 'pot', 'lav', 'prat', 'stool']"
world,"['humankind', 'man', 'globe', 'human_beings', 'planetary', 'populace', 'reality', 'human_race', 'humans', 'global', 'universe', 'cosmos', 'world', 'existence', 'Earth', 'macrocosm', 'earth', 'worldly_concern', 'earthly_concern', 'creation', 'worldwide', 'world-wide', 'public', 'humanity', 'mankind', 'domain']"
structures,"['complex_body_part', 'social_organization', 'construction', 'social_structure', 'social_organisation', 'social_system', 'body_structure', 'anatomical_structure', 'bodily_structure', 'structure']"
communities,"['residential_area', 'biotic_community', 'community_of_interests', 'community', 'residential_district']"
It,"['IT', 'information_technology']"
dual,"['two-fold', 'twofold', 'three-fold', 'threefold', 'double', 'dual', 'treble', 'duple']"
demonstrated,"['establish', 'certify', 'evidence', 'exhibit', 'show', 'prove', 'shew', 'manifest', 'present', 'demonstrated', 'demo', 'demonstrate', 'attest', 'march']"
indeed,"['so', 'indeed']"
exist,"['survive', 'subsist', 'be', 'exist', 'live']"
launched,"['establish', 'found', 'plunge', 'set_up', 'launch', 'set_in_motion']"
than,[]
first,"['initiative', 'start', 'get-go', 'number_one', 'foremost', 'first-class_honours_degree', 'beginning', 'outset', 'showtime', 'maiden', 'commencement', 'number_1', 'first_base', 'first_of_all', 'low', 'world-class', '1st', 'first_gear', 'kickoff', 'firstly', 'first', 'offset', 'first_off', 'initiatory', 'low_gear', 'inaugural', 'starting_time', 'for_the_first_time']"
less,"['to_a_lesser_extent', 'lupus_erythematosus', 'LE', 'less']"
consequence,"['effect', 'aftermath', 'consequence', 'result', 'import', 'upshot', 'issue', 'event', 'outcome', 'moment']"
need,"['indigence', 'pauperization', 'motive', 'pauperism', 'take', 'call_for', 'need', 'necessitate', 'involve', 'motivation', 'penury', 'postulate', 'require', 'demand', 'ask', 'want']"
health,"['wellness', 'health']"
rulers,"['ruler', 'rule', 'swayer']"
Indian,"['Amerindian_language', 'American-Indian_language', 'Red_Indian', 'Amerindic', 'Indian', 'Amerind', 'Native_American', 'American_Indian']"
standards,"['standard', 'banner', 'criterion', 'touchstone', 'monetary_standard', 'measure']"
equate,"['equalise', 'equal', 'equate', 'equalize', 'correspond', 'match', 'compare', 'liken']"
But,"['but', 'simply', 'just', 'merely', 'only']"
power,"['tycoon', 'force', 'exponent', 'major_power', 'business_leader', 'mightiness', 'office', 'king', 'magnate', 'superpower', 'mogul', 'index', 'baron', 'top_executive', 'great_power', 'might', 'world_power', 'ability', 'power', 'powerfulness', 'big_businessman']"
career,"['career', 'vocation', 'life_history', 'calling']"
rural,['rural']
goal,"['finish', 'end', 'goal', 'destination']"
honestly,"['frankly', 'aboveboard', 'honestly', 'candidly']"
that,[]
hence,"['thus', 'therefore', 'so', 'thence', 'hence']"
taken,"['drive', 'have', 'conduct', 'lead', 'withdraw', 'contain', 'select', 'postulate', 'taken', 'submit', 'take_up', 'occupy', 'admit', 'call_for', 'ingest', 'read', 'strike', 'rent', 'exact', 'necessitate', 'shoot', 'require', 'remove', 'consume', 'get', 'pick_out', 'aim', 'ask', 'choose', 'guide', 'contract', 'direct', 'take', 'adopt', 'take_on', 'acquire', 'subscribe', 'take_aim', 'involve', 'train', 'hold', 'use_up', 'deal', 'demand', 'pack', 'carry', 'study', 'get_hold_of', 'bring', 'learn', 'assume', 'claim', 'make', 'lease', 'convey', 'need', 'look_at', 'consider', 'subscribe_to', 'accept', 'take_away', 'interpreted', 'fill', 'take_in', 'engage', 'film', 'hire', 'charter']"
poor,"['poor', 'piteous', 'inadequate', 'hapless', 'pathetic', 'pitiful', 'wretched', 'short', 'misfortunate', 'poor_people', 'pitiable', 'miserable']"
promoting,"['advance', 'further', 'boost', 'advertize', 'raise', 'elevate', 'encourage', 'kick_upstairs', 'advertise', 'upgrade', 'promote', 'push']"
democratic,"['popular', 'Democratic', 'democratic']"
own,"['ain', 'have', 'own', 'possess']"
payments,"['payment', 'defrayment', 'defrayal', 'requital']"
National,"['internal', 'home', 'subject', 'national', 'interior']"
reacting,"['react', 'respond', 'oppose']"
classes,"['year', 'class', 'assort', 'course_of_instruction', 'category', 'social_class', 'course_of_study', 'family', 'sort', 'stratum', 'form', 'separate', 'division', 'course', 'socio-economic_class', 'grade', 'classify', 'sort_out']"
status,"['status', 'condition', 'position']"
There,"['on_that_point', 'at_that_place', 'in_that_respect', 'thither', 'there', 'in_that_location']"
its,"['IT', 'information_technology']"
example,"['model', 'deterrent_example', 'example', 'exercise', 'lesson', 'illustration', 'object_lesson', 'case', 'good_example', 'representative', 'exemplar', 'instance']"
feel,"['flavor', 'tactile_property', 'experience', 'tone', 'feel', 'sense', 'palpate', 'find', 'spirit', 'feeling', 'finger', 'flavour', 'smell', 'look']"
important,"['of_import', 'authoritative', 'important', 'crucial', 'significant']"
view,"['thought', 'position', 'survey', 'horizon', 'catch', 'panorama', 'watch', 'view', 'regard', 'see', 'perspective', 'aspect', 'opinion', 'scene', 'reckon', 'prospect', 'sight', 'look_at', 'consider', 'sentiment', 'take_in', 'eyeshot', 'purview', 'persuasion', 'vista']"
within,"['within', 'inside']"
tasks,"['task', 'labor', 'job', 'chore', 'tax', 'undertaking', 'project']"
sorts,"['sorting', 'class', 'assort', 'sort', 'sieve', 'kind', 'form', 'separate', 'variety', 'screen_out', 'screen', 'classify', 'sort_out']"
fates,"['circumstances', 'fortune', 'lot', 'destiny', 'plump_out', 'fat', 'plump', 'fate', 'fatten_up', 'portion', 'fatten', 'luck', 'flesh_out', 'destine', 'designate', 'doom', 'fill_out', 'fatten_out']"
little,"['fiddling', 'slight', 'niggling', 'trivial', 'petty', 'piddling', 'picayune', 'small', 'footling', 'piffling', 'short', 'lilliputian', 'little', 'minuscule']"
comprehensive,"['comprehensive', 'comp', 'comprehensive_examination']"
rationalize,"['prune', 'rationalise', 'apologise', 'cut', 'justify', 'excuse', 'apologize', 'rationalize']"
factor,"['element', 'ingredient', 'broker', 'factor_out', 'cistron', 'factor_in', 'component', 'agent', 'divisor', 'gene', 'factor', 'constituent']"
aid,"['attention', 'assistance', 'assist', 'tending', 'help', 'financial_aid', 'economic_aid', 'care', 'aid']"
must,"['moldiness', 'mustiness', 'must']"
erratically,"['erratically', 'unpredictably']"
",",[]
future,"['hereafter', 'time_to_come', 'futurity', 'future', 'future_tense', 'succeeding', 'next']"
third,"['third_gear', 'thirdly', 'tertiary', 'one-third', 'third', '3rd', 'tierce', 'third_base']"
creative,"['originative', 'creative']"
colleagues,"['fellow', 'confrere', 'colleague', 'fellow_worker', 'co-worker', 'workfellow']"
develop,"['build_up', 'modernise', 'evolve', 'modernize', 'break', 'produce', 'spring_up', 'rise', 'uprise', 'arise', 'originate', 'get', 'grow', 'explicate', 'recrudesce', 'acquire', 'develop', 'educate', 'germinate', 'train', 'prepare', 'make_grow', 'formulate']"
politically,['politically']
threatened,"['jeopardise', 'jeopardize', 'menace', 'peril', 'endanger', 'threaten', 'threatened', 'imperil']"
support,"['musical_accompaniment', 'underpin', 'bear_out', 'substantiate', 'patronise', 'livelihood', 'financial_support', 'digest', 'supporting', 'put_up', 'accompaniment', 'stick_out', 'living', 'backing', 'reinforcement', 'sustain', 'corroborate', 'defend', 'funding', 'stand', 'plump_for', 'confirm', 'tolerate', 'back_up', 'indorse', 'back', 'plunk_for', 'reenforcement', 'keep_going', 'affirm', 'subscribe', 'stomach', 'brook', 'financial_backing', 'hold', 'endure', 'bear', 'support', 'keep', 'patronage', 'documentation', 'fend_for', 'hold_up', 'endorse', 'patronize', 'sustenance', 'suffer', 'backup', 'abide', 'bread_and_butter']"
made,"['have', 'make_believe', 'realise', 'cause', 'construct', 'throw', 'produce', 'arrive_at', 'draw', 'relieve_oneself', 'fix', 'ca-ca', 'ready', 'establish', 'take_a_leak', 'earn', 'constitute', 'reach', 'pretend', 'form', 'get_to', 'give', 'pass_water', 'get', 'do', 'create', 'attain', 'shit', 'stimulate', 'piddle', 'pee', 'take_a_crap', 'make_water', 'defecate', 'wee-wee', 'hit', 'gain', 'lay_down', 'take', 'progress_to', 'work', 'pull_in', 'seduce', 'urinate', 'puddle', 'micturate', 'piss', 'bring_in', 'hold', 'made', 'nominate', 'spend_a_penny', 'build', 'prepare', 'realize', 'name', 'make_up', 'cook', 'wee', 'make', 'crap', 'induce', 'clear', 'score', 'pee-pee', 'take_a_shit', 'take_in', 'stool']"
action,"['natural_action', 'action_at_law', 'process', 'carry_through', 'fulfil', 'activeness', 'military_action', 'action_mechanism', 'accomplish', 'natural_process', 'sue', 'activity', 'execute', 'action', 'carry_out', 'litigate', 'fulfill', 'legal_action']"
troubled,"['inconvenience', 'trouble_oneself', 'disoblige', 'riotous', 'upset', 'pain', 'inconvenience_oneself', 'unhinge', 'disruptive', 'bother', 'ail', 'perturb', 'put_out', 'tumultuous', 'discommode', 'troubled', 'turbulent', 'distract', 'trouble', 'incommode', 'disturb', 'disquiet', 'cark', 'disorder']"
period,"['menstruum', 'period_of_time', 'time_period', 'full_stop', 'menstruation', 'point', 'stop', 'full_point', 'menses', 'catamenia', 'geological_period', 'flow', 'period']"
cooperation,['cooperation']
emerging,"['come_out', 'rising', 'emergent', 'emerge', 'issue', 'emerging', 'egress', 'go_forth', 'come_forth']"
relates,"['bear_on', 'touch', 'link_up', 'colligate', 'tie_in', 'link', 'interrelate', 'pertain', 'touch_on', 'have-to_doe_with', 'connect', 'come_to', 'refer', 'associate', 'concern', 'relate']"
realize,"['realize', 'actualise', 'recognise', 'agnize', 'gain', 'make', 'earn', 'see', 'pull_in', 'substantiate', 'agnise', 'realise', 'bring_in', 'clear', 'understand', 'recognize', 'actualize', 'take_in']"
no,"['no', 'no_more', 'No', 'atomic_number_102', 'nobelium']"
Actively,['actively']
when,[]
increased,"['increased', 'increase']"
condition,"['qualify', 'stipulate', 'check', 'shape', 'discipline', 'condition', 'precondition', 'status', 'train', 'consideration', 'term', 'circumstance', 'specify', 'stipulation', 'experimental_condition']"
other,"['former', 'early', 'other']"
historic,"['historical', 'historic']"
persists,"['hold_on', 'prevail', 'persevere', 'stay', 'persist', 'remain', 'die_hard', 'run', 'endure', 'hang_in', 'hang_on']"
creatively,['creatively']
on,"['along', 'on']"
supply,"['provide', 'render', 'add', 'cater', 'provision', 'furnish', 'issue', 'supply', 'ply', 'supplying', 'append']"
drive,"['drive', 'force', 'driving', 'cause', 'parkway', 'repel', 'beat_back', 'campaign', 'crusade', 'thrust', 'push', 'driveway', 'ride', 'tug', 'push_back', 'force_back', 'effort', 'get', 'aim', 'motor', 'movement', 'take', 'private_road', 'ram', 'driving_force', 'labor', 'labour', 'repulse']"
have,"['have', 'own', 'deliver', 'cause', 'throw', 'let', 'give_birth', 'birth', 'ingest', 'experience', 'consume', 'give', 'sustain', 'get', 'rich_person', 'stimulate', 'take', 'have_got', 'hold', 'feature', 'bear', 'make', 'induce', 'accept', 'wealthy_person', 'possess', 'take_in', 'suffer', 'receive']"
international,"['outside', 'international', 'external', 'International']"
may,"['Crataegus_oxycantha', 'may', 'Crataegus_laevigata', 'May', 'whitethorn', 'English_hawthorn']"
training,"['training', 'civilise', 'coach', 'preparation', 'trail', 'grooming', 'aim', 'education', 'direct', 'groom', 'take', 'develop', 'educate', 'discipline', 'take_aim', 'rail', 'train', 'civilize', 'prepare', 'check', 'condition', 'school', 'breeding', 'cultivate']"
sense,"['sentience', 'sentiency', 'smell', 'mother_wit', 'sensory_faculty', 'sense', 'gumption', 'feel', 'smell_out', 'common_sense', 'good_sense', 'sensation', 'signified', 'horse_sense']"
Brazil,"['Brasil', 'brazil_nut', 'Brazil', 'Federative_Republic_of_Brazil', 'brazil']"
forward,"['advancing', 'send_on', 'forwards', 'onwards', 'fore', 'ahead', 'forward-moving', 'forward', 'forrard', 'frontwards', 'forrader', 'onward', 'forrad', 'frontward', 'forth']"
justify,"['vindicate', 'warrant', 'rationalise', 'apologise', 'free', 'absolve', 'justify', 'excuse', 'apologize', 'rationalize']"
been,"['represent', 'make_up', 'cost', 'constitute', 'equal', 'comprise', 'personify', 'follow', 'be', 'embody', 'exist', 'live']"
legislative,['legislative']
recognize,"['realize', 'greet', 'recognise', 'agnize', 'discern', 'acknowledge', 'agnise', 'spot', 'realise', 'make_out', 'accredit', 'recognize', 'distinguish', 'tell_apart', 'pick_out', 'know']"
prevented,"['forbid', 'prevent', 'preclude', 'forestall', 'foreclose', 'keep']"
Foreign,"['strange', 'alien', 'foreign', 'extraneous']"
men's,"[""men's_room"", ""men's""]"
project,"['cast', 'image', 'throw', 'project', 'stick_out', 'propose', 'visualize', 'jut', 'contrive', 'externalize', 'envision', 'visualise', 'design', 'see', 'jut_out', 'send_off', 'projection', 'task', 'picture', 'figure', 'labor', 'plan', 'fancy', 'protrude', 'externalise', 'undertaking']"
leaders,"['leaders', 'loss_leader', 'leader', 'leadership', 'drawing_card']"
strong,"['strong', 'secure', 'unassailable', 'substantial', 'solid', 'hard', 'firm', 'warm', 'impregnable', 'stiff', 'potent', 'inviolable', 'unattackable']"
States,"['commonwealth', 'State_Department', 'country', 'state', 'say', 'submit', 'province', 'state_of_matter', 'body_politic', 'posit', 'res_publica', 'put_forward', 'DoS', 'State', 'land', 'United_States_Department_of_State', 'nation', 'Department_of_State', 'tell', 'express']"
up,"['upward', 'upwards', 'up', 'improving', 'upwardly', 'astir']"
our,[]
minimum,"['minimal', 'lower_limit', 'minimum']"
colonial,"['compound', 'colonial']"
assure,"['ensure', 'secure', 'check', 'see', 'promise', 'guarantee', 'tell', 'see_to_it', 'assure', 'ascertain', 'insure', 'reassure', 'control']"
fairly,"['jolly', 'moderately', 'reasonably', 'somewhat', 'pretty', 'evenhandedly', 'fair', 'fairly', 'passably', 'middling', 'clean']"
planning,"['preparation', 'plan', 'design', 'provision', 'contrive', 'planning', 'project', 'be_after']"
working,"['exploit', 'play', 'wreak', 'puzzle_out', 'figure_out', 'make_for', 'put_to_work', 'do_work', 'work_out', 'running', 'work_on', 'operate', 'operative', 'run', 'influence', 'form', 'functional', 'working', 'work', 'solve', 'act_upon', 'on_the_job', 'shape', 'workings', 'ferment', 'lick', 'turn', 'go', 'exercise', 'act', 'bring', 'mold', 'forge', 'make', 'mould', 'knead', 'function', 'sour', 'crop', 'cultivate', 'process']"
take,"['drive', 'have', 'conduct', 'lead', 'withdraw', 'contain', 'select', 'postulate', 'issue', 'submit', 'take_up', 'occupy', 'admit', 'call_for', 'ingest', 'read', 'proceeds', 'strike', 'exact', 'rent', 'necessitate', 'shoot', 'require', 'remove', 'consume', 'get', 'pick_out', 'aim', 'ask', 'choose', 'guide', 'contract', 'direct', 'take', 'yield', 'adopt', 'take_on', 'acquire', 'subscribe', 'take_aim', 'involve', 'train', 'hold', 'use_up', 'deal', 'demand', 'takings', 'carry', 'pack', 'study', 'get_hold_of', 'return', 'bring', 'assume', 'learn', 'claim', 'make', 'lease', 'convey', 'need', 'payoff', 'look_at', 'consider', 'subscribe_to', 'accept', 'take_away', 'fill', 'take_in', 'engage', 'film', 'hire', 'charter']"
identity,"['identicalness', 'individuality', 'identity', 'identity_operator', 'identity_element', 'personal_identity', 'indistinguishability']"
framework,"['theoretical_account', 'fabric', 'model', 'framework']"
considerable,['considerable']
committed,"['trust', 'place', 'perpetrate', 'charge', 'entrust', 'consecrate', 'pull', 'intrust', 'send', 'devote', 'institutionalize', 'give', 'attached', 'institutionalise', 'committed', 'confide', 'dedicate', 'put', 'practice', 'invest', 'commit']"
into,[]
comparative,"['comparative', 'comparative_degree', 'relative']"
orderly,"['hospital_attendant', 'neat', 'orderly']"
without,[]
increasingly,"['increasingly', 'progressively', 'more_and_more']"
least,"['least', 'to_the_lowest_degree']"
nations,"['commonwealth', 'Nation', 'body_politic', 'res_publica', 'Carry_Amelia_Moore_Nation', 'country', 'state', 'land', 'Carry_Nation', 'nation']"
hope,"['trust', 'promise', 'hope', 'desire', 'Bob_Hope', 'Hope', 'go_for', 'Leslie_Townes_Hope']"
grave,"['tomb', 'engrave', 'solemn', 'grave_accent', 'sculpt', 'scratch', 'weighty', 'sober', 'heavy', 'inscribe', 'grave', 'dangerous', 'sedate', 'severe', 'life-threatening', 'serious', 'sculpture', 'grievous']"
imports,"['importation', 'spell', 'consequence', 'import', 'meaning', 'implication', 'importee', 'significance', 'moment', 'signification']"
success,"['achiever', 'winner', 'succeeder', 'success']"
commitments,"['consignment', 'allegiance', 'committal', 'committedness', 'loyalty', 'commitment', 'dedication']"
impulses,"['pulse', 'caprice', 'whim', 'urge', 'momentum', 'nervous_impulse', 'neural_impulse', 'impulsion', 'pulsing', 'pulsation', 'impulse', 'nerve_impulse', 'impetus']"
Service,"['inspection_and_repair', 'Robert_William_Service', 'servicing', 'table_service', 'serve', 'help', 'avail', 'overhaul', 'armed_service', 'religious_service', 'service', 'serving', 'service_of_process', 'divine_service', 'Service', 'military_service']"
required,"['command', 'take', 'call_for', 'need', 'needful', 'requisite', 'needed', 'necessitate', 'involve', 'compulsory', 'postulate', 'require', 'mandatory', 'expect', 'demand', 'required', 'ask', 'want']"
big,"['giving', 'heavy', 'freehanded', 'vauntingly', 'swelled', 'vainglorious', 'great', 'bountiful', 'gravid', 'liberal', 'with_child', 'bragging', 'bad', 'prominent', 'handsome', 'grown', 'expectant', 'self-aggrandising', 'crowing', 'self-aggrandizing', 'full-grown', 'adult', 'bounteous', 'enceinte', 'openhanded', 'cock-a-hoop', 'braggart', 'boastful', 'grownup', 'large', 'magnanimous', 'fully_grown', 'braggy', 'boastfully', 'bighearted', 'big']"
process,"['physical_process', 'cognitive_process', 'swear_out', 'mental_process', 'summons', 'march', 'serve', 'work_on', 'appendage', 'outgrowth', 'work', 'sue', 'action', 'treat', 'unconscious_process', 'procedure', 'litigate', 'operation', 'cognitive_operation', 'process']"
needed,"['take', 'call_for', 'need', 'needful', 'requisite', 'needed', 'necessitate', 'involve', 'postulate', 'require', 'demand', 'required', 'ask', 'want']"
self-sustaining,"['self-sufficing', 'self-sustaining', 'self-sufficient']"
which,[]
assist,"['attend_to', 'assistance', 'assist', 'serve', 'help', 'attend', 'aid', 'wait_on']"
account,"['report', 'describe', 'story', 'history', 'business_relationship', 'account', 'bill', 'calculate', 'news_report', 'accounting', 'chronicle', 'invoice', 'account_statement', 'score', 'explanation', 'answer_for', 'write_up']"
party,"['company', 'party', 'political_party']"
human,"['human_being', 'human', 'man', 'homo']"
with,[]
short,"['unawares', 'poor', 'brusk', 'light', 'short_circuit', 'short', 'suddenly', 'unforesightful', 'unretentive', 'curt', 'shortsighted', 'little', 'myopic', 'short-change', 'brusque', 'curtly', 'shortly', 'shortstop', 'short-circuit', 'dead', 'inadequate', 'scant', 'forgetful', 'abruptly']"
maintaining,"['assert', 'preserve', 'conserve', 'maintain', 'asseverate', 'keep_up', 'wield', 'exert', 'hold', 'sustain', 'defend', 'keep', 'uphold', 'observe']"
stages,"['sleuth', 'tell_on', 'level', 'represent', 'stage', 'stag', 'arrange', 'shit', 'grass', 'degree', 'microscope_stage', 'spy', 'give_away', 'denounce', 'betray', 'rat', 'phase', 'leg', 'stagecoach', 'shop', 'snitch', 'point', 'present', 'snoop']"
interest,"['matter_to', 'involvement', 'pastime', 'worry', 'sake', 'interestingness', 'stake', 'pursuit', 'interest_group', 'concern', 'interest', 'occupy']"
.,[]
who,"['World_Health_Organization', 'WHO']"
realistically,['realistically']
from,[]
help,"['assistance', 'assist', 'supporter', 'serve', 'help', 'avail', 'service', 'helper', 'facilitate', 'assistant', 'help_oneself', 'aid']"
fully,"['fully', 'full', 'to_the_full', 'amply', 'in_full']"
incentives,"['incentive', 'inducement', 'motivator', 'bonus']"
prone,"['prostrate', 'prone']"
intractable,['intractable']
management,"['management', 'direction']"
exception,"['exclusion', 'exception', 'elision']"
undertaken,"['set_about', 'contract', 'undertake', 'take_on', 'guarantee', 'take_in_charge', 'tackle', 'attempt']"
plans,"['programme', 'architectural_plan', 'design', 'plan', 'contrive', 'program', 'project', 'be_after']"
