w,vector_uso
accept,"[46, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0]"
famed,"[0, 0, 0, 0, 0, 0, 6, 0]"
accepted,"[46, 0, 0, 0, 0, 6, 0, 3, 0, 0, 0, 0, 1, 0, 0]"
transition,"[0, 0, 0, 0, 0]"
provincial,"[1, 0, 0]"
alone,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0]"
By,"[3, 3, 63, 0]"
On,"[5, 74]"
lose,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
dangerous,"[0, 0, 0, 1, 0, 0, 0]"
holding,"[0, 46, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 7, 0, 3, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
time,"[0, 0, 0, 0, 35, 0, 0, 0, 0]"
respects,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 8, 0, 0, 0]"
priority,"[0, 0, 0, 0, 0, 0]"
authoritarian,"[0, 0, 0, 0, 0, 0, 0, 0]"
mobilize,"[0, 1, 0, 1, 0, 0, 0]"
stage,"[0, 1, 0, 3, 0, 6, 4, 8, 0, 3, 0]"
conception,"[1, 0, 2, 1, 0, 0, 1, 1]"
dominance,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6]"
able,"[2, 0, 0]"
a,"[0, 0, 0, 0, 0, 0, 0, 253, 18, 0, 0, 0, 0]"
an,"[0, 0]"
itself,[]
recreated,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
or,"[0, 0, 0, 0, 0, 0, 0]"
likely,"[0, 0, 0, 0, 1, 2, 1]"
memories,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
India,"[0, 0, 0]"
governmental,[1]
guide,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 6, 0, 0, 0, 0, 4, 0, 0]"
We,[]
announcement,"[0, 0, 0, 0, 0]"
balance,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
thing,"[5, 0, 2]"
actions,"[0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]"
fashion,"[0, 0, 1, 0, 0, 1]"
underlining,"[0, 0, 0, 0]"
one,"[49, 8, 2, 0, 0, 0, 0, 10, 0, 0, 0, 7, 0, 0, 0, 0, 0]"
possible,"[9, 1]"
intellectuals,"[0, 0]"
investment,"[0, 0, 0, 0]"
democratize,"[0, 0]"
inadequate,"[1, 1, 9, 0]"
category,"[1, 17, 35]"
public,"[0, 5, 1]"
combined,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
